,IFC investment for Loan(Million - USD),IFC investment for Equity(Million - USD),Total IFC investment as approved by Board(Million - USD)
IFC investment for Loan(Million - USD),1.0,-0.19573309158378727,0.8686924356880698
IFC investment for Equity(Million - USD),-0.19573309158378727,1.0,0.16478274989032554
Total IFC investment as approved by Board(Million - USD),0.8686924356880698,0.16478274989032554,1.0
